Name,Country,Role,Base Price (Cr),Status
Devon Conway,New Zealand,Batter,2.0,Capped
Jake Fraser-McGurk,Australia,Batter,2.0,Capped
Cameron Green,Australia,All-Rounder,2.0,Capped
David Miller,South Africa,Batter,2.0,Capped
Gus Atkinson,England,Bowler,2.0,Capped
Wanindu Hasaranga,Sri Lanka,All-Rounder,2.0,Capped
Venkatesh Iyer,India,All-Rounder,2.0,Capped
Liam Livingstone,England,All-Rounder,2.0,Capped
Rachin Ravindra,New Zealand,All-Rounder,2.0,Capped
Finn Allen,New Zealand,Wicket-Keeper,2.0,Capped
Ben Duckett,England,Wicket-Keeper,2.0,Capped
Jamie Smith,England,Wicket-Keeper,2.0,Capped
Gerald Coetzee,South Africa,Bowler,2.0,Capped
Jacob Duffy,New Zealand,Bowler,2.0,Capped
Matt Henry,New Zealand,Bowler,2.0,Capped
Anrich Nortje,South Africa,Bowler,2.0,Capped
Matheesha Pathirana,Sri Lanka,Bowler,2.0,Capped
Ravi Bishnoi,India,Bowler,2.0,Capped
Akeal Hosein,West Indies,Bowler,2.0,Capped
Mujeeb Rahman,Afghanistan,Bowler,2.0,Capped
Maheesh Theekshana,Sri Lanka,Bowler,2.0,Capped
Steve Smith,Australia,Batter,2.0,Capped
Sean Abbott,Australia,Bowler,2.0,Capped
Michael Bracewell,New Zealand,All-Rounder,2.0,Capped
Jason Holder,West Indies,All-Rounder,2.0,Capped
Daryl Mitchell,New Zealand,All-Rounder,2.0,Capped
Tom Banton,England,Wicket-Keeper,2.0,Capped
Shai Hope,West Indies,Wicket-Keeper,2.0,Capped
Josh Inglis,Australia,Wicket-Keeper,2.0,Capped
Kyle Jamieson,New Zealand,Bowler,2.0,Capped
Adam Milne,New Zealand,Bowler,2.0,Capped
Lungisani Ngidi,South Africa,Bowler,2.0,Capped
William Orourke,New Zealand,Bowler,2.0,Capped
Mustafizur Rahman,Bangladesh,Bowler,2.0,Capped
Cooper Connolly,Australia,All-Rounder,2.0,Capped
Tom Curran,England,All-Rounder,2.0,Capped
Daniel Lawrence,England,All-Rounder,2.0,Capped
Alzarri Joseph,West Indies,Bowler,2.0,Capped
Naveen Ul Haq,Afghanistan,Bowler,2.0,Capped
Liam Dawson,England,All-Rounder,2.0,Capped
Rahmanullah Gurbaz,Afghanistan,Wicket-Keeper,1.5,Capped
Spencer Johnson,Australia,Bowler,1.5,Capped
Matthew Short,Australia,All-Rounder,1.5,Capped
Tim Seifert,New Zealand,Wicket-Keeper,1.5,Capped
Saqib Mahmood,England,Bowler,1.5,Capped
Umesh Yadav,India,Bowler,1.5,Capped
Riley Meredith,Australia,Bowler,1.5,Capped
Jhye Richardson,Australia,Bowler,1.5,Capped
Jason Behrendorff,Australia,Bowler,1.5,Capped
Beau Webster,Australia,All-Rounder,1.25,Capped
Roston Chase,West Indies,All-Rounder,1.25,Capped
Kyle Mayers,West Indies,All-Rounder,1.25,Capped
Olly Stone,England,Bowler,1.25,Capped
Wiaan Mulder,South Africa,All-Rounder,1.0,Capped
Jonny Bairstow,England,Wicket-Keeper,1.0,Capped
Quinton De Kock,South Africa,Wicket-Keeper,1.0,Capped
Akash Deep,India,Bowler,1.0,Capped
Fazalhaq Farooqi,Afghanistan,Bowler,1.0,Capped
Rahul Chahar,India,Bowler,1.0,Capped
Reeza Hendricks,South Africa,Batter,1.0,Capped
Ben Dwarshuis,Australia,Bowler,1.0,Capped
Daniel Sams,Australia,All-Rounder,1.0,Capped
Kusal Perera,Sri Lanka,Wicket-Keeper,1.0,Capped
Mohammad Waqar Salamkheil,Afghanistan,Bowler,1.0,Capped
George Linde,South Africa,All-Rounder,1.0,Capped
Gulbadin Naib,Afghanistan,All-Rounder,1.0,Capped
William Sutherland,Australia,All-Rounder,1.0,Capped
Charith Asalanka,Sri Lanka,Batter,1.0,Capped
Dwaine Pretorius,South Africa,All-Rounder,1.0,Capped
Joshua Tongue,England,Bowler,1.0,Capped
Sarfaraz Khan,India,Batter,0.75,Capped
Prithvi Shaw,India,Batter,0.75,Capped
Deepak Hooda,India,All-Rounder,0.75,Capped
K.S. Bharat,India,Wicket-Keeper,0.75,Capped
Shivam Mavi,India,Bowler,0.75,Capped
Mayank Agarawal,India,Batter,0.75,Capped
Sediqullah Atal,Afghanistan,Batter,0.75,Capped
Ackeem Auguste,West Indies,Batter,0.75,Capped
Pathum Nissanka,Sri Lanka,Batter,0.75,Capped
Tim Robinson,New Zealand,Batter,0.75,Capped
Rahul Tripathi,India,Batter,0.75,Capped
Zak Foulkes,New Zealand,All-Rounder,0.75,Capped
Dasun Shanaka,Sri Lanka,All-Rounder,0.75,Capped
Jordan Cox,England,Wicket-Keeper,0.75,Capped
Benjamin McDermott,Australia,Wicket-Keeper,0.75,Capped
Kusal Mendis,Sri Lanka,Wicket-Keeper,0.75,Capped
Chetan Sakariya,India,Bowler,0.75,Capped
Kuldeep Sen,India,Bowler,0.75,Capped
Qais Ahmad,Afghanistan,Bowler,0.75,Capped
Rishad Hossain,Bangladesh,Bowler,0.75,Capped
Viyaskanth Vijayakanth,Sri Lanka,Bowler,0.75,Capped
Rehan Ahmed,England,Bowler,0.75,Capped
Bevon-John Jacobs,New Zealand,Wicket-Keeper,0.75,Capped
Taskin Ahmed,Bangladesh,Bowler,0.75,Capped
Richard Gleeson,England,Bowler,0.75,Capped
Shamar Joseph,West Indies,Bowler,0.75,Capped
Navdeep Saini,India,Bowler,0.75,Capped
Luke Wood,England,Bowler,0.75,Capped
Muhammad Abbas,New Zealand,Bowler,0.75,Capped
George Garton,England,All-Rounder,0.75,Capped
Nathan Smith,New Zealand,All-Rounder,0.75,Capped
Dunith Wellalage,Sri Lanka,All-Rounder,0.75,Capped
Tanzim Hasan Sakib,Bangladesh,Bowler,0.75,Capped
Matthew Potts,England,Bowler,0.75,Capped
Nahid Rana,Bangladesh,Bowler,0.75,Capped
Sandeep Warrier,India,Bowler,0.75,Capped
Wesley Agar,Australia,Bowler,0.75,Capped
Binura Fernando,Sri Lanka,Bowler,0.75,Capped
Md Shoriful Islam,Bangladesh,Bowler,0.75,Capped
Joshua Little,Ireland,Bowler,0.75,Capped
Obed McCoy,West Indies,Bowler,0.75,Capped
Billy Stanlake,Australia,Bowler,0.75,Capped
Mahipal Lomror,India,All-Rounder,0.5,Uncapped
Karn Sharma,India,Bowler,0.5,Uncapped
Joe Clarke,England,Wicket-Keeper,0.5,Uncapped
Jack Edwards,Australia,All-Rounder,0.5,Uncapped
Rajvardhan Hangargekar,India,Bowler,0.4,Uncapped
K.M Asif,India,Bowler,0.4,Uncapped
Shubham Agrawal,India,Bowler,0.4,Uncapped
Jalaj Saxena,India,All-Rounder,0.4,Uncapped
Tom Moores,England,Wicket-Keeper,0.4,Uncapped
Arab Gul,Afghanistan,Wicket-Keeper,0.4,Uncapped
Nikhil Chaudhary,India,All-Rounder,0.4,Uncapped
Aarya Desai,India,Batter,0.3,Uncapped
Yash Dhull,India,Batter,0.3,Uncapped
Abhinav Manohar,India,Batter,0.3,Uncapped
Anmolpreet Singh,India,Batter,0.3,Uncapped
Atharva Taide,India,Batter,0.3,Uncapped
Abhinav Tejrana,India,Batter,0.3,Uncapped
Auqib Dar,India,Bowler,0.3,Uncapped
Tanush Kotian,India,All-Rounder,0.3,Uncapped
Shivang Kumar,India,All-Rounder,0.3,Uncapped
Kamlesh Nagarkoti,India,Bowler,0.3,Uncapped
Vijay Shankar,India,All-Rounder,0.3,Uncapped
Sanvir Singh,India,All-Rounder,0.3,Uncapped
Edhen Tom,India,All-Rounder,0.3,Uncapped
Prashant Veer,India,All-Rounder,0.3,Uncapped
Ruchit Ahir,India,Wicket-Keeper,0.3,Uncapped
Vansh Bedi,India,Wicket-Keeper,0.3,Uncapped
Mukul Choudhary,India,Wicket-Keeper,0.3,Uncapped
Tushar Raheja,India,Wicket-Keeper,0.3,Uncapped
Kartik Sharma,India,Wicket-Keeper,0.3,Uncapped
Tejasvi Singh,India,Wicket-Keeper,0.3,Uncapped
Raj Limbani,India,Bowler,0.3,Uncapped
Akash Madhwal,India,Bowler,0.3,Uncapped
Sushant Mishra,India,Bowler,0.3,Uncapped
Ashok Sharma,India,Bowler,0.3,Uncapped
Simarjeet Singh,India,Bowler,0.3,Uncapped
Naman Tiwari,India,Bowler,0.3,Uncapped
Kartik Tyagi,India,Bowler,0.3,Uncapped
Yash Raj Punja,UAE,Bowler,0.3,Uncapped
Vignesh Puthur,India,Bowler,0.3,Uncapped
Shivam Shukla,India,Bowler,0.3,Uncapped
Kumar Kartikeya Singh,India,Bowler,0.3,Uncapped
Prashant Solanki,India,Bowler,0.3,Uncapped
Wahidullah Zadran,Afghanistan,Bowler,0.3,Uncapped
Ankit Kumar,India,Batter,0.3,Uncapped
Rohan Kunnummal,India,Batter,0.3,Uncapped
Danish Malewar,India,Batter,0.3,Uncapped
Pukhraj Mann,India,Batter,0.3,Uncapped
Salman Nizar,India,Batter,0.3,Uncapped
Aman Rao Perala,India,Batter,0.3,Uncapped
Akshat Raghuwanshi,India,Batter,0.3,Uncapped
Manan Vohra,India,Batter,0.3,Uncapped
Yuvraj Chaudhary,India,All-Rounder,0.3,Uncapped
Satvik Deswal,India,All-Rounder,0.3,Uncapped
Aman Khan,India,All-Rounder,0.3,Uncapped
Darshan Nalkande,India,All-Rounder,0.3,Uncapped
Vicky Ostwal,India,All-Rounder,0.3,Uncapped
Sairaj Patil,India,All-Rounder,0.3,Uncapped
Suyash Prabhudessai,India,All-Rounder,0.3,Uncapped
Mayank Rawat,India,All-Rounder,0.3,Uncapped
Harsh Tyagi,India,All-Rounder,0.3,Uncapped
Mangesh Yadav,India,All-Rounder,0.3,Uncapped
Salil Arora,India,Wicket-Keeper,0.3,Uncapped
Ricky Bhui,India,Wicket-Keeper,0.3,Uncapped
Rahul Buddhi,India,Wicket-Keeper,0.3,Uncapped
Saurav Chuahan,India,Wicket-Keeper,0.3,Uncapped
Yashvardhan Dalal,India,Wicket-Keeper,0.3,Uncapped
Abhishek Pathak,India,Wicket-Keeper,0.3,Uncapped
Kunal Rathore,India,Wicket-Keeper,0.3,Uncapped
Ravi Singh,India,Wicket-Keeper,0.3,Uncapped
Sakib Hussain,India,Bowler,0.3,Uncapped
Mohammad Izhar,India,Bowler,0.3,Uncapped
Vidwath Kaverappa,India,Bowler,0.3,Uncapped
Vijay Kumar,India,Bowler,0.3,Uncapped
Vidyadhar Patil,India,Bowler,0.3,Uncapped
PV.Satyanarayana Raju,India,Bowler,0.3,Uncapped
Onkar Tarmale,India,Bowler,0.3,Uncapped
Prithviraj Yarra,India,Bowler,0.3,Uncapped
Murugan Ashwin,India,Bowler,0.3,Uncapped
Tejas Baroka,India,Bowler,0.3,Uncapped
